"","Tournament_Game","Year","Month","Day","Team1","Team1_Seed","Team1_Score","Team2","Team2_Seed","Team2_Score"
"206","NCAA, South - Second Round","2014","3","20","Florida",1,"67","Albany NY",16,"55"
"207","NCAA, East - Second Round","2014","3","20","Villanova",2,"73","Milwaukee",15,"53"
"208","NCAA, West - Second Round","2014","3","20","Wisconsin",2,"75","American",15,"35"
"209","NCAA, Midwest - Second Round","2014","3","20","Wofford",15,"40","Michigan",2,"57"
"210","NCAA, South - Second Round","2014","3","20","Western Michigan",14,"53","Syracuse",3,"77"
"211","NCAA, Midwest - Second Round","2014","3","20","Manhattan",13,"64","Louisville",4,"71"
"212","NCAA, East - Second Round","2014","3","20","Michigan State",4,"93","Delaware",13,"78"
"213","NCAA, West - Second Round","2014","3","20","San Diego State",4,"73","New Mexico State",13,"69"
"214","NCAA, East - Second Round","2014","3","20","Harvard",12,"61","Cincinnati",5,"57"
"215","NCAA, West - Second Round","2014","3","20","Oklahoma",5,"75","North Dakota State",12,"80"
"216","NCAA, Midwest - Second Round","2014","3","20","Saint Louis",5,"83","NC State",12,"80"
"217","NCAA, South - Second Round","2014","3","20","Ohio State",6,"59","Dayton",11,"60"
"218","NCAA, West - Second Round","2014","3","20","Oregon",7,"87","BYU",10,"68"
"219","NCAA, East - Second Round","2014","3","20","St Josephs",10,"81","UConn",7,"89"
"220","NCAA, Midwest - Second Round","2014","3","20","Texas",7,"87","Arizona State",10,"85"
"221","NCAA, South - Second Round","2014","3","20","Pitt",9,"77","Colorado",8,"48"
"222","NCAA, East - Second Round","2014","3","21","Virginia",1,"70","Coastal Carolina",16,"59"
"223","NCAA, West - Second Round","2014","3","21","Weber State",16,"59","Arizona",1,"68"
"224","NCAA, Midwest - Second Round","2014","3","21","Wichita State",1,"64","Cal Poly",16,"37"
"225","NCAA, South - Second Round","2014","3","21","Kansas",2,"80","Eastern Kentucky",15,"69"
"226","NCAA, West - Second Round","2014","3","21","Louisiana",14,"66","Creighton",3,"76"
"227","NCAA, Midwest - Second Round","2014","3","21","Mercer",14,"78","Duke",3,"71"
"228","NCAA, East - Second Round","2014","3","21","North Carolina Central",14,"75","Iowa State",3,"93"
"229","NCAA, South - Second Round","2014","3","21","UCLA",4,"76","Tulsa",13,"59"
"230","NCAA, South - Second Round","2014","3","21","VCU",5,"75","Stephen F Austin",12,"77"
"231","NCAA, West - Second Round","2014","3","21","Nebraska",11,"60","Baylor",6,"74"
"232","NCAA, East - Second Round","2014","3","21","Providence",11,"77","UNC",6,"79"
"233","NCAA, Midwest - Second Round","2014","3","21","Tennessee",11,"86","UMass",6,"67"
"234","NCAA, South - Second Round","2014","3","21","Stanford",10,"58","New Mexico",7,"53"
"235","NCAA, Midwest - Second Round","2014","3","21","Kentucky",8,"56","Kansas State",9,"49"
"236","NCAA, East - Second Round","2014","3","21","Memphis",8,"71","George Washington",9,"66"
"237","NCAA, West - Second Round","2014","3","21","Oklahoma State",9,"77","Gonzaga",8,"85"
"238","NCAA, South - Third Round","2014","3","22","Pitt",9,"45","Florida",1,"61"
"239","NCAA, Midwest - Third Round","2014","3","22","Texas",7,"65","Michigan",2,"79"
"240","NCAA, East - Third Round","2014","3","22","Villanova",2,"65","UConn",7,"77"
"241","NCAA, West - Third Round","2014","3","22","Wisconsin",2,"85","Oregon",7,"77"
"242","NCAA, South - Third Round","2014","3","22","Syracuse",3,"53","Dayton",11,"55"
"243","NCAA, East - Third Round","2014","3","22","Michigan State",4,"80","Harvard",12,"73"
"244","NCAA, Midwest - Third Round","2014","3","22","Saint Louis",5,"51","Louisville",4,"66"
"245","NCAA, West - Third Round","2014","3","22","San Diego State",4,"63","North Dakota State",12,"44"
"246","NCAA, West - Third Round","2014","3","23","Gonzaga",8,"61","Arizona",1,"84"
"247","NCAA, East - Third Round","2014","3","23","Virginia",1,"78","Memphis",8,"60"
"248","NCAA, Midwest - Third Round","2014","3","23","Wichita State",1,"76","Kentucky",8,"78"
"249","NCAA, South - Third Round","2014","3","23","Stanford",10,"60","Kansas",2,"57"
"250","NCAA, West - Third Round","2014","3","23","Creighton",3,"55","Baylor",6,"85"
"251","NCAA, East - Third Round","2014","3","23","UNC",6,"83","Iowa State",3,"85"
"252","NCAA, South - Third Round","2014","3","23","UCLA",4,"77","Stephen F Austin",12,"60"
"253","NCAA, Midwest - Third Round","2014","3","23","Tennessee",11,"83","Mercer",14,"63"
"254","NCAA, West - Regional Semifinal","2014","3","27","San Diego State",4,"64","Arizona",1,"70"
"255","NCAA, South - Regional Semifinal","2014","3","27","UCLA",4,"68","Florida",1,"79"
"256","NCAA, West - Regional Semifinal","2014","3","27","Wisconsin",2,"69","Baylor",6,"52"
"257","NCAA, South - Regional Semifinal","2014","3","27","Stanford",10,"72","Dayton",11,"82"
"258","NCAA, East - Regional Semifinal","2014","3","28","Virginia",1,"59","Michigan State",4,"61"
"259","NCAA, Midwest - Regional Semifinal","2014","3","28","Tennessee",11,"71","Michigan",2,"73"
"260","NCAA, East - Regional Semifinal","2014","3","28","Iowa State",3,"76","UConn",7,"81"
"261","NCAA, Midwest - Regional Semifinal","2014","3","28","Louisville",4,"69","Kentucky",8,"74"
"262","NCAA, South - Regional Final","2014","3","29","Florida",1,"62","Dayton",11,"52"
"263","NCAA, West - Regional Final","2014","3","29","Wisconsin",2,"64","Arizona",1,"63"
"264","NCAA, Midwest - Regional Final","2014","3","30","Michigan",2,"72","Kentucky",8,"75"
"265","NCAA, East - Regional Final","2014","3","30","Michigan State",4,"54","UConn",7,"60"
"266","NCAA, National - National Semifinal","2014","4","5","Florida",1,"53","UConn",7,"63"
"267","NCAA, National - National Semifinal","2014","4","5","Wisconsin",2,"73","Kentucky",8,"74"
"268","NCAA, National - National Final","2014","4","7","Kentucky",8,"54","UConn",7,"60"
"273","NCAA, Midwest - Second Round","2015","3","19","Kentucky",1,"79","Hampton",16,"56"
"274","NCAA, East - Second Round","2015","3","19","Villanova",1,"93","Lafayette",16,"52"
"275","NCAA, West - Second Round","2015","3","19","Texas Southern",15,"72","Arizona",2,"93"
"276","NCAA, West - Second Round","2015","3","19","Georgia State",14,"57","Baylor",3,"56"
"277","NCAA, South - Second Round","2015","3","19","Iowa State",3,"59","AlabamaBirmingham",14,"60"
"278","NCAA, Midwest - Second Round","2015","3","19","Notre Dame",3,"69","Northeastern",14,"65"
"279","NCAA, South - Second Round","2015","3","19","Georgetown",4,"84","Eastern Washington",13,"74"
"280","NCAA, West - Second Round","2015","3","19","UNC",4,"67","Harvard",13,"65"
"281","NCAA, South - Second Round","2015","3","19","Utah",5,"57","Stephen F Austin",12,"50"
"282","NCAA, West - Second Round","2015","3","19","Wofford",12,"53","Arkansas",5,"56"
"283","NCAA, Midwest - Second Round","2015","3","19","Texas",11,"48","Butler",6,"56"
"284","NCAA, South - Second Round","2015","3","19","UCLA",11,"60","SMU",6,"59"
"285","NCAA, West - Second Round","2015","3","19","Xavier",6,"76","Ole Miss",11,"57"
"286","NCAA, West - Second Round","2015","3","19","VCU",7,"72","Ohio State",10,"75"
"287","NCAA, East - Second Round","2015","3","19","NC State",8,"66","LSU",9,"65"
"288","NCAA, Midwest - Second Round","2015","3","19","Purdue",9,"65","Cincinnati",8,"66"
"289","NCAA, South - Second Round","2015","3","20","Robert Morris",16,"56","Duke",1,"85"
"290","NCAA, West - Second Round","2015","3","20","Wisconsin",1,"86","Coastal Carolina",16,"72"
"291","NCAA, Midwest - Second Round","2015","3","20","New Mexico State",15,"56","Kansas",2,"75"
"292","NCAA, South - Second Round","2015","3","20","North Dakota State",15,"76","Gonzaga",2,"86"
"293","NCAA, East - Second Round","2015","3","20","Virginia",2,"79","Belmont",15,"67"
"294","NCAA, East - Second Round","2015","3","20","Oklahoma",3,"69","Albany NY",14,"60"
"295","NCAA, East - Second Round","2015","3","20","Louisville",4,"57","UCIrvine",13,"55"
"296","NCAA, Midwest - Second Round","2015","3","20","Valparaiso",13,"62","Maryland",4,"65"
"297","NCAA, Midwest - Second Round","2015","3","20","West Virginia",5,"68","Buffalo",12,"62"
"298","NCAA, East - Second Round","2015","3","20","Wyoming",12,"54","Northern Iowa",5,"71"
"299","NCAA, East - Second Round","2015","3","20","Providence",6,"53","Dayton",11,"66"
"300","NCAA, South - Second Round","2015","3","20","Iowa",7,"83","Davidson",10,"52"
"301","NCAA, East - Second Round","2015","3","20","Michigan State",7,"70","Georgia",10,"63"
"302","NCAA, Midwest - Second Round","2015","3","20","Wichita State",7,"81","Indiana",10,"76"
"303","NCAA, West - Second Round","2015","3","20","Oregon",8,"79","Oklahoma State",9,"73"
"304","NCAA, South - Second Round","2015","3","20","St Johns NY",9,"64","San Diego State",8,"76"
"305","NCAA, Midwest - Third Round","2015","3","21","Kentucky",1,"64","Cincinnati",8,"51"
"306","NCAA, East - Third Round","2015","3","21","Villanova",1,"68","NC State",8,"71"
"307","NCAA, West - Third Round","2015","3","21","Ohio State",10,"58","Arizona",2,"73"
"308","NCAA, Midwest - Third Round","2015","3","21","Notre Dame",3,"67","Butler",6,"64"
"309","NCAA, West - Third Round","2015","3","21","UNC",4,"87","Arkansas",5,"78"
"310","NCAA, South - Third Round","2015","3","21","Utah",5,"75","Georgetown",4,"64"
"311","NCAA, West - Third Round","2015","3","21","Xavier",6,"75","Georgia State",14,"67"
"312","NCAA, South - Third Round","2015","3","21","UCLA",11,"92","AlabamaBirmingham",14,"75"
"313","NCAA, South - Third Round","2015","3","22","San Diego State",8,"49","Duke",1,"68"
"314","NCAA, West - Third Round","2015","3","22","Wisconsin",1,"72","Oregon",8,"65"
"315","NCAA, South - Third Round","2015","3","22","Iowa",7,"68","Gonzaga",2,"87"
"316","NCAA, East - Third Round","2015","3","22","Virginia",2,"54","Michigan State",7,"60"
"317","NCAA, Midwest - Third Round","2015","3","22","Wichita State",7,"78","Kansas",2,"65"
"318","NCAA, East - Third Round","2015","3","22","Oklahoma",3,"72","Dayton",11,"66"
"319","NCAA, East - Third Round","2015","3","22","Northern Iowa",5,"53","Louisville",4,"66"
"320","NCAA, Midwest - Third Round","2015","3","22","West Virginia",5,"69","Maryland",4,"59"
"321","NCAA, Midwest - Regional Semifinal","2015","3","26","West Virginia",5,"39","Kentucky",1,"78"
"322","NCAA, West - Regional Semifinal","2015","3","26","Wisconsin",1,"79","UNC",4,"72"
"323","NCAA, West - Regional Semifinal","2015","3","26","Xavier",6,"60","Arizona",2,"68"
"324","NCAA, Midwest - Regional Semifinal","2015","3","26","Wichita State",7,"70","Notre Dame",3,"81"
"325","NCAA, South - Regional Semifinal","2015","3","27","Utah",5,"57","Duke",1,"63"
"326","NCAA, South - Regional Semifinal","2015","3","27","UCLA",11,"62","Gonzaga",2,"74"
"327","NCAA, East - Regional Semifinal","2015","3","27","Oklahoma",3,"58","Michigan State",7,"62"
"328","NCAA, East - Regional Semifinal","2015","3","27","NC State",8,"65","Louisville",4,"75"
"329","NCAA, Midwest - Regional Final","2015","3","28","Notre Dame",3,"66","Kentucky",1,"68"
"330","NCAA, West - Regional Final","2015","3","28","Wisconsin",1,"85","Arizona",2,"78"
"331","NCAA, South - Regional Final","2015","3","29","Gonzaga",2,"52","Duke",1,"66"
"332","NCAA, East - Regional Final","2015","3","29","Michigan State",7,"76","Louisville",4,"70"
"333","NCAA, National - National Semifinal","2015","4","4","Michigan State",7,"61","Duke",1,"81"
"334","NCAA, National - National Semifinal","2015","4","4","Wisconsin",1,"71","Kentucky",1,"64"
"335","NCAA, National - National Final","2015","4","6","Wisconsin",1,"63","Duke",1,"68"
"340","NCAA, South - First Round","2016","3","17","Austin Peay",16,"79","Kansas",1,"105"
"341","NCAA, East - First Round","2016","3","17","Florida Gulf Coast",16,"67","UNC",1,"83"
"342","NCAA, Midwest - First Round","2016","3","17","Hampton",16,"45","Virginia",1,"81"
"343","NCAA, South - First Round","2016","3","17","Buffalo",14,"72","Miami FL",3,"79"
"344","NCAA, Midwest - First Round","2016","3","17","Fresno State",14,"69","Utah",3,"80"
"345","NCAA, Midwest - First Round","2016","3","17","Iona",13,"81","Iowa State",4,"94"
"346","NCAA, West - First Round","2016","3","17","UNC Wilmington",13,"85","Duke",4,"93"
"347","NCAA, East - First Round","2016","3","17","Stony Brook",13,"57","Kentucky",4,"85"
"348","NCAA, Midwest - First Round","2016","3","17","Little Rock",12,"85","Purdue",5,"83"
"349","NCAA, East - First Round","2016","3","17","Chattanooga",12,"74","Indiana",5,"99"
"350","NCAA, West - First Round","2016","3","17","Yale",12,"79","Baylor",5,"75"
"351","NCAA, Midwest - First Round","2016","3","17","Gonzaga",11,"68","Seton Hall",6,"52"
"352","NCAA, South - First Round","2016","3","17","Wichita State",11,"65","Arizona",6,"55"
"353","NCAA, Midwest - First Round","2016","3","17","Butler",9,"71","Texas Tech",8,"61"
"354","NCAA, South - First Round","2016","3","17","UConn",9,"74","Colorado",8,"67"
"355","NCAA, East - First Round","2016","3","17","Providence",9,"70","USC",8,"69"
"356","NCAA, West - First Round","2016","3","18","Holy Cross",16,"52","Oregon",1,"91"
"357","NCAA, West - First Round","2016","3","18","Cal State Bakersfield",15,"68","Oklahoma",2,"82"
"358","NCAA, Midwest - First Round","2016","3","18","Middle Tennessee",15,"90","Michigan State",2,"81"
"359","NCAA, South - First Round","2016","3","18","UNC Asheville",15,"56","Villanova",2,"86"
"360","NCAA, East - First Round","2016","3","18","Weber State",15,"53","Xavier",2,"71"
"361","NCAA, West - First Round","2016","3","18","Green Bay",14,"65","Texas AM",3,"92"
"362","NCAA, East - First Round","2016","3","18","Stephen F Austin",14,"70","West Virginia",3,"56"
"363","NCAA, South - First Round","2016","3","18","Hawaii",13,"77","California",4,"66"
"364","NCAA, South - First Round","2016","3","18","South Dakota State",12,"74","Maryland",5,"79"
"365","NCAA, East - First Round","2016","3","18","Michigan",11,"63","Notre Dame",6,"70"
"366","NCAA, West - First Round","2016","3","18","Northern Iowa",11,"75","Texas",6,"72"
"367","NCAA, East - First Round","2016","3","18","Pitt",10,"43","Wisconsin",7,"47"
"368","NCAA, Midwest - First Round","2016","3","18","Syracuse",10,"70","Dayton",7,"51"
"369","NCAA, South - First Round","2016","3","18","Temple",10,"70","Iowa",7,"72"
"370","NCAA, West - First Round","2016","3","18","VCU",10,"75","Oregon State",7,"67"
"371","NCAA, West - First Round","2016","3","18","Cincinnati",9,"76","St Josephs",8,"78"
"372","NCAA, Midwest - Second Round","2016","3","19","Butler",9,"69","Virginia",1,"77"
"373","NCAA, South - Second Round","2016","3","19","UConn",9,"61","Kansas",1,"73"
"374","NCAA, East - Second Round","2016","3","19","Providence",9,"66","UNC",1,"85"
"375","NCAA, Midwest - Second Round","2016","3","19","Gonzaga",11,"82","Utah",3,"59"
"376","NCAA, South - Second Round","2016","3","19","Wichita State",11,"57","Miami FL",3,"65"
"377","NCAA, Midwest - Second Round","2016","3","19","Little Rock",12,"61","Iowa State",4,"78"
"378","NCAA, East - Second Round","2016","3","19","Indiana",5,"73","Kentucky",4,"67"
"379","NCAA, West - Second Round","2016","3","19","Yale",12,"64","Duke",4,"71"
"380","NCAA, West - Second Round","2016","3","20","St Josephs",8,"64","Oregon",1,"69"
"381","NCAA, South - Second Round","2016","3","20","Iowa",7,"68","Villanova",2,"87"
"382","NCAA, West - Second Round","2016","3","20","VCU",10,"81","Oklahoma",2,"85"
"383","NCAA, East - Second Round","2016","3","20","Wisconsin",7,"66","Xavier",2,"63"
"384","NCAA, West - Second Round","2016","3","20","Northern Iowa",11,"88","Texas AM",3,"92"
"385","NCAA, South - Second Round","2016","3","20","Hawaii",13,"60","Maryland",5,"73"
"386","NCAA, East - Second Round","2016","3","20","Stephen F Austin",14,"75","Notre Dame",6,"76"
"387","NCAA, Midwest - Second Round","2016","3","20","Middle Tennessee",15,"50","Syracuse",10,"75"
"388","NCAA, West - Regional Semifinal","2016","3","24","Duke",4,"68","Oregon",1,"82"
"389","NCAA, South - Regional Semifinal","2016","3","24","Maryland",5,"63","Kansas",1,"79"
"390","NCAA, South - Regional Semifinal","2016","3","24","Miami FL",3,"69","Villanova",2,"92"
"391","NCAA, West - Regional Semifinal","2016","3","24","Texas AM",3,"63","Oklahoma",2,"77"
"392","NCAA, East - Regional Semifinal","2016","3","25","Indiana",5,"86","UNC",1,"101"
"393","NCAA, Midwest - Regional Semifinal","2016","3","25","Iowa State",4,"71","Virginia",1,"84"
"394","NCAA, East - Regional Semifinal","2016","3","25","Wisconsin",7,"56","Notre Dame",6,"61"
"395","NCAA, Midwest - Regional Semifinal","2016","3","25","Gonzaga",11,"60","Syracuse",10,"63"
"396","NCAA, West - Regional Final","2016","3","26","Oklahoma",2,"80","Oregon",1,"68"
"397","NCAA, South - Regional Final","2016","3","26","Villanova",2,"64","Kansas",1,"59"
"398","NCAA, East - Regional Final","2016","3","27","Notre Dame",6,"74","UNC",1,"88"
"399","NCAA, Midwest - Regional Final","2016","3","27","Syracuse",10,"68","Virginia",1,"62"
"400","NCAA, National - National Semifinal","2016","4","2","Syracuse",10,"66","UNC",1,"83"
"401","NCAA, National - National Semifinal","2016","4","2","Villanova",2,"95","Oklahoma",2,"51"
"402","NCAA, National - National Final","2016","4","4","Villanova",2,"77","UNC",1,"74"
"407","NCAA, East - First Round","2017","3","16","Mount St Marys",16,"56","Villanova",1,"76"
"408","NCAA, West - First Round","2017","3","16","South Dakota State",16,"46","Gonzaga",1,"66"
"409","NCAA, West - First Round","2017","3","16","North Dakota",15,"82","Arizona",2,"100"
"410","NCAA, West - First Round","2017","3","16","Florida Gulf Coast",14,"80","Florida State",3,"86"
"411","NCAA, West - First Round","2017","3","16","Bucknell",13,"80","West Virginia",4,"86"
"412","NCAA, East - First Round","2017","3","16","ETSU",13,"65","Florida",4,"80"
"413","NCAA, Midwest - First Round","2017","3","16","Vermont",13,"70","Purdue",4,"80"
"414","NCAA, South - First Round","2017","3","16","Winthrop",13,"64","Butler",4,"76"
"415","NCAA, South - First Round","2017","3","16","Middle Tennessee",12,"81","Minnesota",5,"72"
"416","NCAA, Midwest - First Round","2017","3","16","Nevada",12,"73","Iowa State",5,"84"
"417","NCAA, East - First Round","2017","3","16","UNC Wilmington",12,"71","Virginia",5,"76"
"418","NCAA, West - First Round","2017","3","16","Princeton",12,"58","Notre Dame",5,"60"
"419","NCAA, West - First Round","2017","3","16","Xavier",11,"76","Maryland",6,"65"
"420","NCAA, West - First Round","2017","3","16","VCU",10,"77","Saint Marys",7,"85"
"421","NCAA, West - First Round","2017","3","16","Vanderbilt",9,"66","Northwestern",8,"68"
"422","NCAA, East - First Round","2017","3","16","Virginia Tech",9,"74","Wisconsin",8,"84"
"423","NCAA, Midwest - First Round","2017","3","17","UCDavis",16,"62","Kansas",1,"100"
"424","NCAA, South - First Round","2017","3","17","Texas Southern",16,"64","UNC",1,"103"
"425","NCAA, Midwest - First Round","2017","3","17","Jacksonville State",15,"63","Louisville",2,"78"
"426","NCAA, South - First Round","2017","3","17","Northern Kentucky",15,"70","Kentucky",2,"79"
"427","NCAA, East - First Round","2017","3","17","Troy",15,"65","Duke",2,"87"
"428","NCAA, Midwest - First Round","2017","3","17","Iona",14,"77","Oregon",3,"93"
"429","NCAA, South - First Round","2017","3","17","Kent State",14,"80","UCLA",3,"97"
"430","NCAA, East - First Round","2017","3","17","New Mexico State",14,"73","Baylor",3,"91"
"431","NCAA, South - First Round","2017","3","17","Kansas State",11,"61","Cincinnati",6,"75"
"432","NCAA, Midwest - First Round","2017","3","17","Rhode Island",11,"84","Creighton",6,"72"
"433","NCAA, East - First Round","2017","3","17","USC",11,"66","SMU",6,"65"
"434","NCAA, East - First Round","2017","3","17","Marquette",10,"73","South Carolina",7,"93"
"435","NCAA, Midwest - First Round","2017","3","17","Oklahoma State",10,"91","Michigan",7,"92"
"436","NCAA, South - First Round","2017","3","17","Wichita State",10,"64","Dayton",7,"58"
"437","NCAA, Midwest - First Round","2017","3","17","Michigan State",9,"78","Miami FL",8,"58"
"438","NCAA, South - First Round","2017","3","17","Seton Hall",9,"71","Arkansas",8,"77"
"439","NCAA, West - Second Round","2017","3","18","Northwestern",8,"73","Gonzaga",1,"79"
"440","NCAA, East - Second Round","2017","3","18","Wisconsin",8,"65","Villanova",1,"62"
"441","NCAA, West - Second Round","2017","3","18","Saint Marys",7,"60","Arizona",2,"69"
"442","NCAA, West - Second Round","2017","3","18","Xavier",11,"91","Florida State",3,"66"
"443","NCAA, Midwest - Second Round","2017","3","18","Iowa State",5,"76","Purdue",4,"80"
"444","NCAA, South - Second Round","2017","3","18","Middle Tennessee",12,"65","Butler",4,"74"
"445","NCAA, West - Second Round","2017","3","18","Notre Dame",5,"71","West Virginia",4,"83"
"446","NCAA, East - Second Round","2017","3","18","Virginia",5,"39","Florida",4,"65"
"447","NCAA, South - Second Round","2017","3","19","Arkansas",8,"65","UNC",1,"72"
"448","NCAA, Midwest - Second Round","2017","3","19","Michigan State",9,"70","Kansas",1,"90"
"449","NCAA, Midwest - Second Round","2017","3","19","Michigan",7,"73","Louisville",2,"69"
